trip_distance_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
53,2,2016-03-10T13:37:46,2016-03-10T13:37:49,1,0.71,Standard rate,40.78213501,-73.95938873,40.78209686,-73.95941162,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
54,2,2016-03-10T10:49:55,2016-03-10T10:50:39,1,1.42,Standard rate,0,0,0,0,Credit card,2.5,0,0.5,0.99,0,0.3,4.29
55,2,2016-03-10T10:27:03,2016-03-10T10:49:42,1,4.28,Standard rate,40.77584839,-73.9473114,40.74657822,-73.98532104,Credit card,13.5,0,0.5,2.86,0,0.3,17.16
56,2,2016-03-01T06:13:21,2016-03-01T06:13:23,1,1.84,JFK,0,0,0,0,Credit card,52,0,0.5,15.84,0,0.3,68.64
57,2,2016-03-10T14:15:19,2016-03-10T14:15:34,1,3.95,JFK,40.76691055,-73.95384979,40.76691055,-73.95384979,Credit card,52,0,0.5,15.84,0,0.3,68.64
58,2,2016-03-10T08:03:43,2016-03-10T09:16:03,1,3.65,Negotiated fare,40.75611115,-73.99020386,40.64561844,-73.77631378,Credit card,58,0,0.5,17.55,0,0,76.05
59,1,2016-03-01T05:18:32,2016-03-01T05:20:14,1,9.46,Negotiated fare,40.69006729,-74.17792511,40.69002151,-74.17785645,Credit card,80,0,0,0,0,0.3,80.3
60,2,2016-03-01T02:03:35,2016-03-01T02:03:39,2,0.48,Negotiated fare,40.70441818,-74.09574127,40.70441818,-74.09574127,Credit card,80,0,0,0,0,0.3,80.3
61,2,2016-03-10T13:26:51,2016-03-10T13:28:12,2,19.35,Standard rate,37.38947296,-121.9333267,37.38937759,-121.9332428,Credit card,1.6,0,0.5,0,0,0.3,2.4
62,2,2016-03-10T09:36:05,2016-03-10T09:38:54,1,11.25,Standard rate,40.76499939,-73.93717194,40.76488876,-73.93708801,Credit card,3.5,0,0.5,0,0,0.3,4.3
63,1,2016-03-01T04:17:20,2016-03-01T04:17:20,1,2.2,Standard rate,40.75034714,-73.8901062,0,0,Cash,2.5,1,0.5,0,0,0.3,4.3
64,1,2016-03-01T05:06:25,2016-03-01T05:07:47,1,4.65,Standard rate,40.74644852,-73.9901123,40.74729919,-73.98966217,Cash,3,0.5,0.5,0,0,0.3,4.3
65,2,2016-03-10T08:47:32,2016-03-10T08:50:25,1,1.8,Standard rate,40.76467133,-73.93695068,40.76465988,-73.93697357,Credit card,3.5,0,0.5,0,0,0.3,4.3
66,1,2016-03-01T01:48:53,2016-03-01T01:50:40,1,10.34,Standard rate,40.72176743,-74.00444794,40.72166061,-74.00445557,Cash,3,0.5,0.5,0,0,0.3,4.3
